x_value,total_1,total_2 
2667,2487281,1178656
2668,2483273,1183952
2669,2485854,1186433
2670,2491086,1185790
2671,2487072,1182563
2672,2494289,1179460
2673,2488860,1182956
2674,2494167,1183360
2675,2494982,1188521
2676,2498865,1188138
2677,2497175,1190286
2678,2498761,1185821
2679,2494005,1180851
2680,2499564,1178599
2681,2501135,1181331
2682,2498763,1183838
2683,2504657,1179724
2684,2506476,1179770
2685,2503580,1177432
2686,2505554,1177078
2687,2502380,1182898
2688,2503980,1180331
2689,2507792,1184787
2690,2507559,1187700
2691,2512440,1186320
2692,2519774,1190255
2693,2518460,1188745
2694,2518050,1186453
2695,2521734,1183236
2696,2526696,1180427
2697,2527286,1181798
2698,2533958,1181076
2699,2530847,1181582
2700,2529907,1182595
2701,2530474,1188104
2702,2525833,1192765
2703,2531107,1196800
2704,2536936,1199805
2705,2536095,1204010
2706,2543416,1200201
2707,2544563,1196759
2708,2551411,1193961
2709,2554883,1198930
2710,2551383,1197722
2711,2554415,1201011
2712,2557868,1196570
2713,2557804,1194506
2714,2564934,1193292
2715,2569287,1196440
2716,2568687,1197365
2717,2573227,1196417
2718,2579380,1199424
2719,2577333,1203070
2720,2579094,1199706
2721,2577729,1201904
2722,2579286,1200976
2723,2580476,1203508
2724,2581952,1205540
2725,2588445,1208295
2726,2584071,1207107
2727,2591605,1208757
2728,2595790,1205493
2729,2600328,1202816
2730,2594823,1207526
2731,2589596,1212014
2732,2585321,1212070
2733,2581466,1214234
2734,2580281,1216809
2735,2588166,1222652
2736,2588043,1223707
2737,2594021,1227690
2738,2596220,1233040
2739,2592648,1235735
2740,2597614,1238715
2741,2598464,1237026
2742,2595243,1234254
2743,2595465,1238652
2744,2591910,1242041
2745,2593713,1240306
2746,2590319,1238264
2747,2596032,1234995
2748,2595132,1231384
2749,2596431,1226514
2750,2599775,1227798
2751,2595940,1222822
2752,2600821,1227354
2753,2604290,1223642
2754,2609202,1228064
2755,2616855,1223759
2756,2615676,1226823
2757,2616380,1222853
2758,2619209,1226088
2759,2626993,1230524
2760,2633958,1233131
2761,2637937,1234587
2762,2637148,1237482
2763,2631681,1232645
2764,2634277,1229789
2765,2634634,1233704
2766,2633782,1235018
2767,2632580,1239911
2768,2639055,1243027
2769,2640431,1239714
2770,2643693,1241626
2771,2637902,1247413
2772,2642254,1245646
2773,2648351,1249194
2774,2655841,1246089
2775,2651597,1246185
2776,2658902,1247616
2777,2653392,1252567
2778,2653260,1250401
2779,2648411,1254072
2780,2650033,1251042
2781,2644201,1252758
2782,2641576,1254415
2783,2645026,1256870
2784,2644998,1252217
2785,2642293,1248372
2786,2647357,1253872
2787,2646818,1256141
2788,2646589,1259527
2789,2651482,1259129
2790,2650677,1260930
2791,2651365,1263643
2792,2652679,1259978
2793,2649443,1257460
2794,2643912,1262822
2795,2648409,1261967
2796,2652784,1259746
2797,2660490,1257593
2798,2655065,1262707
2799,2656998,1263366
2800,2654755,1267884
2801,2657237,1264021
2802,2658419,1264848
2803,2656096,1260860
2804,2655119,1263716
2805,2661274,1261567
2806,2669260,1265599
2807,2671313,1271049
2808,2668079,1268386
2809,2662921,1269266
2810,2667781,1267847
2811,2667998,1271622
2812,2674580,1272721
2813,2669694,1275213
2814,2664164,1274433
2815,2672098,1279746
2816,2667391,1281556
2817,2669834,1282158
2818,2675395,1284985
2819,2682078,1286408
2820,2687901,1281906
2821,2683003,1287901
2822,2690261,1287160
2823,2686935,1292061
2824,2691200,1294689
2825,2690320,1290039
2826,2690321,1287928
2827,2686968,1285772
2828,2688755,1284109
2829,2687305,1289971
2830,2685993,1295573
2831,2681650,1298540
2832,2676395,1302419
2833,2671413,1305939
2834,2669841,1309061
2835,2668023,1306376
2836,2669711,1308142
2837,2667719,1305876
2838,2663571,1301661
2839,2659285,1297062
2840,2663421,1292767
2841,2658331,1294798
2842,2664860,1292441
2843,2660436,1294123
2844,2661242,1298078
2845,2666942,1303888
2846,2673397,1305371
2847,2668170,1311007
2848,2667179,1306090
2849,2670718,1301398
2850,2667999,1299432
2851,2662689,1296602
2852,2660060,1299761
2853,2661254,1301425
2854,2661196,1306376
2855,2664452,1302550
2856,2671701,1307860
2857,2676794,1303011
2858,2676192,1303580
2859,2678133,1308128
2860,2672961,1313701
2861,2670990,1316227
2862,2677335,1322188
2863,2679090,1327118
2864,2685710,1332661
2865,2689853,1331914
2866,2691501,1328814
2867,2688271,1324230
2868,2687522,1326319
2869,2684658,1328002
2870,2681243,1325720
2871,2686801,1329893
2872,2687668,1330182
2873,2693194,1327210
2874,2693760,1327930
2875,2700947,1333385
2876,2706245,1337312
2877,2701295,1334759
2878,2699904,1331341
2879,2696809,1328165
2880,2699034,1332869
2881,2693878,1330393
2882,2701642,1333427
2883,2707572,1339185
2884,2701605,1342094
2885,2706384,1344701
2886,2702646,1346805
2887,2709105,1348826
2888,2716661,1354751
2889,2721221,1357242
2890,2725553,1360718
2891,2730896,1361073
2892,2732601,1360640
2893,2732009,1363004
2894,2737736,1359249
2895,2738379,1358811
2896,2734249,1363399
2897,2730178,1364388
2898,2729699,1364232
2899,2730083,1366918
2900,2737714,1370217
2901,2737404,1369261
2902,2741296,1372077
2903,2737397,1368671
2904,2743522,1368902
2905,2747032,1370336
2906,2753632,1365518
2907,2759338,1363490
2908,2758203,1366275
2909,2754924,1370984
2910,2759547,1373881
2911,2763070,1377263
2912,2768770,1375780
2913,2768295,1374298
2914,2773670,1369819
2915,2777960,1368163
2916,2784447,1365775
2917,2787960,1370724
2918,2789846,1367049
2919,2797620,1367932
2920,2793132,1365919
2921,2798029,1365244
2922,2797798,1367316
2923,2794502,1370461
2924,2792585,1369500
2925,2798475,1366858
2926,2796945,1362301
2927,2791820,1358093
2928,2789659,1353933
2929,2791301,1354112
2930,2797686,1352862
2931,2805003,1357732
2932,2801991,1360428
2933,2796957,1358063
2934,2800931,1360055
2935,2797362,1365218
2936,2802853,1371169
2937,2809952,1368891
2938,2807374,1367032
2939,2807929,1369752
2940,2814846,1374165
2941,2816015,1377220
2942,2811159,1376946
2943,2811580,1372377
2944,2809690,1371715
2945,2803823,1366960
2946,2800343,1364741
2947,2801819,1364653
2948,2805368,1368368
2949,2802793,1364610
2950,2798429,1365430
2951,2796220,1370009
2952,2796185,1373321
2953,2798784,1371543
2954,2796848,1374100
2955,2804360,1374393
2956,2798957,1376082
2957,2795579,1374400
2958,2789809,1373262
2959,2797354,1377274
2960,2799618,1378196
2961,2800723,1379516
2962,2802117,1384378
2963,2805467,1383194
2964,2812590,1388242
2965,2812578,1386649
2966,2816100,1390775
2967,2815682,1394635
2968,2813470,1394619
2969,2813441,1389822
2970,2818537,1394112
2971,2822288,1398711
2972,2825515,1395749
2973,2828291,1393610
2974,2823174,1391578
2975,2821243,1397489
2976,2816833,1393284
2977,2812979,1392453
2978,2813839,1397934
2979,2820794,1398249
2980,2823256,1393645
2981,2829818,1393166
2982,2836008,1390720
2983,2837486,1395676
2984,2844151,1395550
2985,2844299,1400142
2986,2842016,1402366
2987,2844559,1403388
2988,2848397,1400158
2989,2843056,1395962
2990,2843518,1393089
2991,2842613,1397781
2992,2847299,1397144
2993,2846168,1398830
2994,2848437,1404330
2995,2847817,1401956
2996,2854417,1405267
2997,2862169,1404317
2998,2868421,1402094
2999,2866116,1399694
3000,2863926,1404319
3001,2871811,1399362
3002,2878459,1401395
3003,2882239,1397701
3004,2889262,1400576
3005,2897058,1405081
3006,2893519,1401271
3007,2893107,1404386
3008,2887360,1399387
3009,2882579,1399371
3010,2881350,1400587
3011,2875528,1403223
3012,2875777,1398970
3013,2877643,1404750
3014,2878299,1403832
3015,2876577,1404860
3016,2870750,1402367
3017,2873073,1402522
3018,2880960,1406459
3019,2879356,1404777
3020,2884804,1407802
3021,2892379,1406225
3022,2898006,1404082
3023,2892838,1403375
3024,2889949,1407205
3025,2892588,1409968
3026,2899961,1405894
3027,2904778,1401917
3028,2911984,1406538
3029,2914587,1411551
3030,2919106,1416481
3031,2915289,1413777
3032,2916740,1411902
3033,2911581,1417664
3034,2909151,1416959
3035,2916584,1420792
3036,2924364,1417535
3037,2929813,1420283
3038,2934891,1422370
3039,2939596,1425634
3040,2944482,1431150
3041,2945882,1431175
3042,2941695,1430011
3043,2937220,1434304
3044,2937345,1430881
3045,2941405,1429548
3046,2948626,1433976
3047,2951683,1433726
3048,2948793,1438030
3049,2953140,1434785
3050,2958710,1435784
3051,2958962,1433987
3052,2956454,1432095
3053,2961957,1432089
3054,2966917,1429938
3055,2964462,1430143
3056,2962801,1428645
3057,2961218,1425673
3058,2959250,1421190
3059,2960724,1420589
3060,2963341,1419493
3061,2961075,1425031
3062,2967776,1431005
3063,2970932,1435117
3064,2965340,1435786
3065,2962397,1431643
3066,2961858,1436597
3067,2964703,1432479
3068,2971223,1433104
3069,2977044,1436512
3070,2971852,1435704
3071,2967799,1435230
3072,2973593,1432592
3073,2973241,1429376
3074,2968945,1425124
3075,2966534,1429297
3076,2967907,1431099
3077,2965226,1426562
3078,2959534,1425176
3079,2961868,1429999
3080,2969405,1432781
3081,2967916,1428563
3082,2972243,1427205
3083,2967309,1431604
3084,2974240,1433200
3085,2973783,1432265
3086,2968486,1435770
3087,2973466,1431536
3088,2972876,1436814
3089,2978600,1436454
3090,2975340,1440022
3091,2979666,1443343
3092,2978296,1442252
3093,2982519,1439869
3094,2976743,1443744
3095,2980375,1441156
3096,2983954,1440480
3097,2985010,1445750
3098,2980311,1448089
3099,2975196,1452274
3100,2978038,1448744
3101,2977710,1452087
3102,2974448,1453590
3103,2979732,1452446
3104,2987050,1454021
3105,2990614,1449100
3106,2991735,1451238
3107,2995066,1449029
3108,3002019,1448325
3109,3008664,1451176
3110,3010757,1453052
3111,3013352,1450130
3112,3010386,1455539
3113,3011982,1461159
3114,3009015,1464770
3115,3006543,1466008
3116,3011441,1472008
3117,3013343,1469898
3118,3007391,1474267
3119,3013658,1470608
3120,3020029,1474010
3121,3024243,1475109
3122,3023967,1471269
3123,3022999,1476509
3124,3028386,1474303
3125,3032711,1476032
3126,3030574,1474122
3127,3033368,1479051
3128,3033760,1484508
3129,3038162,1480595
3130,3042916,1480894
3131,3037470,1484816
3132,3034791,1484642
3133,3032917,1486763
3134,3028630,1484209
3135,3033379,1482771
3136,3034134,1480153
3137,3036397,1475283
3138,3044222,1471438
3139,3044402,1471802
3140,3051487,1470975
3141,3047888,1474231
3142,3052934,1472640
3143,3058532,1475729
3144,3054240,1474939
3145,3051145,1472137
3146,3054489,1478032
3147,3048767,1475884
3148,3044565,1476701
3149,3050023,1479474
3150,3054027,1483656
3151,3049065,1485522
3152,3048349,1485063
3153,3043559,1486055
3154,3041102,1486579
3155,3038977,1489281
3156,3037393,1492435
3157,3036413,1495476
3158,3031160,1497818
3159,3031820,1497222
3160,3027108,1494108
3161,3031128,1497153
3162,3025467,1500101
3163,3032173,1498682
3164,3039382,1502345
3165,3046338,1498341
3166,3041921,1498866
3167,3038589,1501787
3168,3037922,1499732
3169,3038995,1498528
3170,3037942,1499667
3171,3032159,1497102
3172,3030749,1500480
3173,3026804,1499602
3174,3030059,1499670
3175,3027030,1495309
3176,3022393,1494656
3177,3022497,1491240
3178,3028588,1492291
3179,3028832,1493389
3180,3025683,1491610
3181,3025380,1491726
3182,3025338,1495951
3183,3027744,1497339
3184,3026076,1499873
3185,3033468,1497729
3186,3035013,1495332
3187,3036146,1493238
3188,3033731,1497895
3189,3032416,1495453
3190,3028471,1498097
3191,3025603,1501077
3192,3024104,1497975
3193,3024325,1496400
3194,3027715,1492086
3195,3031308,1493362
3196,3029458,1496570
3197,3027443,1497929
3198,3028894,1502767
3199,3028414,1501707
3200,3035108,1497048
3201,3040639,1499674
3202,3043376,1502277
3203,3048155,1503289
3204,3044454,1498708
3205,3038911,1500069
3206,3037449,1500156
3207,3040448,1501624
3208,3045056,1503245
3209,3041947,1506795
3210,3040130,1512203
3211,3036995,1512894
3212,3041137,1514805
3213,3045117,1512019
3214,3050259,1510536
3215,3048561,1514984
3216,3054874,1519454
3217,3053880,1515889
3218,3059127,1511468
3219,3055378,1512935
3220,3062210,1508226
3221,3060652,1512029
3222,3057536,1511813
3223,3054540,1511051
3224,3053536,1509072
3225,3059884,1510967
3226,3061330,1511410
3227,3069029,1508813
3228,3065990,1512005
3229,3060547,1510954
3230,3061460,1516127
3231,3065014,1521353
3232,3070254,1518938
3233,3066894,1514010
3234,3072332,1516735
3235,3067715,1518072
3236,3068510,1520314
3237,3062912,1517354
3238,3064408,1518393
3239,3068970,1520766
3240,3069568,1525926
3241,3068981,1530057
3242,3071548,1531983
3243,3074430,1534570
3244,3068513,1537740
3245,3065157,1542042
3246,3062919,1542218
3247,3059006,1546762
3248,3059796,1546906
3249,3064362,1548473
3250,3071220,1554422
3251,3068660,1554246
3252,3063525,1550320
3253,3069321,1554542
3254,3073797,1553827
3255,3070667,1556344
3256,3072637,1557839
3257,3073311,1557192
3258,3077633,1556002
3259,3079759,1554532
3260,3086099,1554366
3261,3083404,1553163
3262,3080659,1553833
3263,3075126,1555901
3264,3074688,1554125
3265,3080201,1553514
3266,3085756,1554162
3267,3092429,1560102
3268,3090228,1561946
3269,3096392,1566657
3270,3097771,1566908
3271,3097173,1571060
3272,3093854,1576578
3273,3088420,1577717
3274,3086838,1582241
3275,3087619,1584029
3276,3090580,1581193
3277,3096427,1584859
3278,3098273,1580065
3279,3096339,1580281
3280,3104260,1582221
3281,3099925,1577705
3282,3094539,1578366
3283,3091687,1581092
3284,3085803,1581777
3285,3081470,1585699
3286,3075986,1587012
3287,3078522,1588737
3288,3076165,1585063
3289,3079539,1589805
3290,3081173,1592836
3291,3077149,1593245
3292,3073875,1590676
3293,3079779,1586184
3294,3083662,1585816
3295,3078921,1585950
3296,3078745,1581055
3297,3077294,1577321
3298,3072483,1579847
3299,3072499,1580473
3300,3076512,1577229
3301,3084181,1576408
3302,3089919,1579389
3303,3089965,1583862
3304,3084059,1583093
3305,3090758,1583744
3306,3084982,1585307
3307,3088122,1586570
3308,3089331,1583802
3309,3087566,1583661
3310,3084134,1587105
3311,3089746,1589631
3312,3089625,1586467
3313,3096877,1585301
3314,3095127,1591301
3315,3091727,1595818
3316,3092496,1594843
3317,3089460,1592308
3318,3083755,1589996
3319,3080253,1591190
3320,3086492,1589771
3321,3089036,1591469
3322,3083870,1590563
3323,3083679,1589528
3324,3079913,1592463
3325,3082051,1588086
3326,3080148,1591748
3327,3078016,1587369
3328,3080433,1591605
3329,3074894,1590731
3330,3075328,1586374
3331,3082911,1592097
3332,3087385,1587536
3333,3093031,1589028
3334,3095530,1584655
3335,3100161,1589212
3336,3095379,1587031
3337,3091080,1588615
3338,3091043,1591314
3339,3089143,1593953
3340,3096120,1591614
3341,3090984,1590357
3342,3085493,1595217
3343,3082327,1598701
3344,3084167,1597210
3345,3089142,1599730
3346,3085030,1595134
3347,3083397,1596352
3348,3079963,1597248
3349,3079586,1598045
3350,3077086,1601138
3351,3082384,1607044
3352,3077988,1606957
3353,3085446,1602427
3354,3079566,1599130
3355,3081617,1602641
3356,3088329,1603817
3357,3082671,1605797
3358,3085277,1607404
3359,3090064,1606055
3360,3086839,1607305
3361,3086603,1606029
3362,3093708,1602243
3363,3092464,1604677
3364,3094935,1605063
3365,3089918,1609021
3366,3092424,1606475
3367,3091714,1610561
3368,3096029,1611938
3369,3091902,1612404
3370,3096787,1615834
3371,3094960,1614377
3372,3090716,1619980
3373,3090368,1623729
3374,3090074,1624381
3375,3085564,1627255
3376,3086322,1629360
3377,3088897,1626917
3378,3085134,1623245
3379,3083749,1622285
3380,3078790,1624106
3381,3083523,1621940
3382,3088424,1620971
3383,3084017,1621950
3384,3084377,1619822
3385,3080215,1615502
3386,3083116,1614040
3387,3084916,1610528
3388,3087122,1607894
3389,3082441,1604933
3390,3077695,1601297
3391,3078286,1600533
3392,3072732,1606335
3393,3077329,1605325
3394,3081039,1603225
3395,3082157,1603807
3396,3082916,1606952
3397,3077270,1612721
3398,3083093,1614013
3399,3089911,1609572
3400,3097806,1615217
3401,3093767,1619760
3402,3098980,1614813
3403,3093798,1619448
3404,3097818,1624837
3405,3098924,1624963
3406,3093925,1628317
3407,3091130,1626360
3408,3087577,1629036
3409,3094873,1630505
3410,3094793,1627993
3411,3096230,1632956
3412,3101525,1635628
3413,3098033,1640436
3414,3093940,1646032
3415,3096123,1641044
3416,3098619,1641693
3417,3102230,1641612
3418,3103720,1637326
3419,3101112,1640735
3420,3108290,1638494
3421,3106926,1639367
3422,3102346,1642701
3423,3096558,1646819
3424,3094627,1647208
3425,3094054,1642987
3426,3088849,1646925
3427,3083384,1644603
3428,3084420,1640171
3429,3090176,1640201
3430,3096416,1642230
3431,3101106,1637957
3432,3105070,1643395
3433,3105690,1645620
3434,3100193,1647467
3435,3100894,1652837
3436,3103205,1655602
3437,3107000,1651683
3438,3108544,1649997
3439,3104582,1652771
3440,3105377,1650112
3441,3107602,1647784
3442,3107233,1644542
3443,3109694,1649026
3444,3113374,1649962
3445,3116455,1646785
3446,3112956,1651404
3447,3120722,1657305
3448,3122914,1660751
3449,3127088,1663393
3450,3132984,1660711
3451,3136399,1658494
3452,3131471,1658034
3453,3136464,1656676
3454,3133045,1658901
3455,3133983,1655283
3456,3136018,1659794
3457,3130169,1659526
3458,3136012,1665284
3459,3141760,1670265
3460,3135902,1670777
3461,3136309,1665949
3462,3130966,1665223
3463,3128360,1666149
3464,3132121,1667761
3465,3129173,1664488
3466,3133923,1663984
3467,3141639,1666171
3468,3143937,1666598
3469,3141141,1662732
3470,3143023,1661142
3471,3147366,1658526
3472,3142981,1661506
3473,3137611,1663368
3474,3143901,1662035
3475,3149255,1665684
3476,3149622,1664713
3477,3156588,1667056
3478,3150936,1673033
3479,3158760,1676309
3480,3166385,1672913
3481,3160513,1670667
3482,3156802,1666769
3483,3159361,1671973
3484,3159760,1671603
3485,3166639,1666982
3486,3172386,1669268
3487,3177233,1666832
3488,3183479,1668535
3489,3180505,1673911
3490,3185371,1672266
3491,3185291,1669168
3492,3191255,1670920
3493,3188453,1667786
3494,3183749,1668524
3495,3189355,1666961
3496,3195983,1669993
3497,3201417,1665594
3498,3196713,1669217
3499,3194096,1670231
3500,3195012,1665295
3501,3200279,1666267
3502,3205267,1672258
3503,3202092,1677022
3504,3203188,1674571
3505,3197203,1679209
3506,3199359,1682279
3507,3206166,1685502
3508,3210140,1688677
3509,3215999,1689322
3510,3219097,1685280
3511,3214173,1690857
3512,3217677,1690629
3513,3223682,1685964
3514,3223263,1689325
3515,3217411,1688687
3516,3222107,1683785
3517,3227957,1688189
3518,3228159,1691646
3519,3227763,1690041
3520,3227447,1688683
3521,3232571,1690267
3522,3227864,1686402
3523,3231070,1691751
3524,3233936,1692167
3525,3231233,1692570
3526,3227307,1695024
3527,3222690,1698118
3528,3228925,1701221
3529,3226196,1698971
3530,3231458,1695296
3531,3236536,1700878
3532,3238138,1700439
3533,3241477,1697534
3534,3239800,1700797
3535,3240511,1696893
3536,3243087,1695759
3537,3241494,1694751
3538,3242411,1696360
3539,3249928,1692391
3540,3253219,1691781
3541,3252967,1692451
3542,3250386,1695839
3543,3244548,1701691
3544,3239924,1705038
3545,3234823,1702163
3546,3228826,1704398
3547,3223388,1709881
3548,3223636,1706989
3549,3223197,1710828
3550,3228079,1713613
3551,3234317,1714869
3552,3232054,1711285
3553,3230731,1715620
3554,3234694,1711272
3555,3236275,1716157
3556,3231822,1713070
3557,3229067,1710563
3558,3230857,1708728
3559,3234654,1705488
3560,3233456,1707380
3561,3228017,1704357
3562,3230618,1704652
3563,3227408,1702534
3564,3229395,1698389
3565,3224598,1695986
3566,3232035,1691810
3567,3233996,1688608
3568,3231606,1692147
3569,3228755,1692172
3570,3230078,1697815
3571,3225176,1702934
3572,3233111,1702777
3573,3231113,1703281
3574,3225348,1707603
3575,3223269,1708944
3576,3218069,1713398
3577,3223188,1713060
3578,3221842,1710592
3579,3226593,1712251
3580,3220595,1715780
3581,3216891,1712526
3582,3219768,1714578
3583,3217232,1712113
3584,3213821,1707257
3585,3216380,1703658
3586,3213206,1705682
3587,3213269,1706431
3588,3216562,1701924
3589,3219758,1706432
3590,3214223,1708290
3591,3209291,1710408
3592,3210810,1715977
3593,3215657,1711451
3594,3210202,1712307
3595,3210996,1714252
3596,3217246,1710014
3597,3218128,1710093
3598,3223642,1709279
3599,3224340,1706358
3600,3218453,1709712
3601,3215222,1711491
3602,3209382,1716257
3603,3207713,1721340
3604,3210390,1723858
3605,3218060,1726471
3606,3221908,1728419
3607,3223338,1728222
3608,3221479,1731761
3609,3220590,1729781
3610,3221156,1726424
3611,3225963,1729783
3612,3228844,1731088
3613,3227684,1733941
3614,3227312,1731764
3615,3233703,1730883
3616,3233570,1734723
3617,3234134,1733887
3618,3234307,1737868
3619,3231077,1743716
3620,3232990,1746897
3621,3228595,1747772
3622,3234984,1752849
3623,3232825,1752904
3624,3231652,1757898
3625,3232610,1753736
3626,3230797,1755697
3627,3235192,1757069
3628,3238883,1762801
3629,3244889,1761165
3630,3250733,1757771
3631,3253872,1756686
3632,3256519,1759843
3633,3259227,1755219
3634,3254372,1753022
3635,3249180,1757382
3636,3253048,1756264
3637,3250486,1751482
3638,3249332,1755492
3639,3249341,1758580
3640,3245477,1759390
3641,3250325,1757404
3642,3244342,1762433
3643,3251605,1761269
3644,3250188,1757728
3645,3256919,1753413
3646,3259464,1751966
3647,3255671,1755885
3648,3257777,1755826
3649,3265175,1754033
3650,3272559,1757643
3651,3267939,1758871
3652,3262337,1754170
3653,3261279,1751008
3654,3257954,1753037
3655,3263162,1750513
3656,3262815,1749839
3657,3260226,1748452
3658,3255056,1751579
3659,3256837,1747825
3660,3256678,1750087
3661,3251800,1753996
3662,3257059,1751095
3663,3263786,1748232
3664,3264704,1747095
3665,3263720,1745214
3666,3262394,1751013
3667,3258451,1754605
3668,3259801,1756322
3669,3258175,1757449
3670,3260650,1757549
3671,3262463,1755067
3672,3258308,1752591
3673,3255000,1748711
3674,3254450,1748407
3675,3255543,1746443
3676,3261987,1744889
3677,3259266,1742410
3678,3261753,1741398
3679,3268457,1738369
3680,3268642,1742300
3681,3263952,1744930
3682,3258766,1745283
3683,3256912,1741429
3684,3256431,1737792
3685,3253204,1737014
3686,3259644,1732470
3687,3258973,1734623
3688,3255938,1735473
3689,3263391,1731241
3690,3267650,1726980
3691,3271759,1728052
3692,3278449,1728133
3693,3274424,1723300
3694,3282420,1727622
3695,3277131,1726836
3696,3271996,1723937
3697,3273029,1726483
3698,3267391,1730039
3699,3262544,1732705
3700,3259264,1728998
3701,3253725,1732213
3702,3254011,1737818
3703,3255893,1735901
3704,3251356,1737412
3705,3255041,1737055
3706,3258286,1734334
3707,3252933,1731269
3708,3258861,1735462
3709,3256601,1732081
3710,3258797,1734382
3711,3258597,1732288
3712,3259159,1737222
3713,3261081,1742836
3714,3255305,1741391
3715,3257820,1739684
3716,3256353,1735625
3717,3255602,1741270
3718,3259975,1747247
3719,3267318,1752264
3720,3267799,1749839
3721,3272952,1747944
3722,3280098,1746125
3723,3287512,1741249
3724,3294185,1745520
3725,3301163,1744205
3726,3302848,1744074
3727,3308672,1745618
3728,3303312,1751430
3729,3305933,1754884
3730,3300285,1754794
3731,3297760,1751366
3732,3304690,1748748
3733,3305730,1751609
3734,3308253,1747565
3735,3302357,1745931
3736,3307615,1748713
3737,3306593,1747237
3738,3306249,1750817
3739,3301016,1752529
3740,3302433,1756165
3741,3299265,1752167
3742,3296815,1755631
3743,3291496,1760713
3744,3296826,1763527
3745,3296028,1769091
3746,3303985,1773766
3747,3305552,1768991
3748,3300944,1766450
3749,3308467,1763020
3750,3305017,1758662
3751,3306065,1762156
3752,3307274,1760793
3753,3305512,1766249
3754,3301892,1762694
3755,3299280,1768194
3756,3300196,1766671
3757,3299529,1769117
3758,3295507,1766726
3759,3299634,1763762
3760,3306228,1762445
3761,3305647,1758868
3762,3312038,1756415
3763,3312244,1755350
3764,3309574,1753293
3765,3305842,1748764
3766,3302407,1749752
3767,3299273,1748959
3768,3293419,1748299
3769,3288162,1743674
3770,3286319,1745903
3771,3289747,1747835
3772,3284898,1753224
3773,3282008,1754881
3774,3282297,1750928
3775,3278322,1753989
3776,3275422,1752800
3777,3276153,1756121
3778,3279206,1751218
3779,3277411,1756057
3780,3284944,1754643
3781,3287078,1757309
3782,3294118,1761539
3783,3298628,1762700
3784,3303869,1766701
3785,3306569,1767653
3786,3308273,1767622
3787,3309607,1768494
3788,3315946,1770150
3789,3322065,1772940
3790,3316301,1778898
3791,3313874,1773995
3792,3316731,1779441
3793,3314503,1785377
3794,3314091,1788327
3795,3310563,1790930
3796,3317927,1793234
3797,3319845,1795747
3798,3325889,1801563
3799,3326373,1798038
3800,3325526,1794957
3801,3327994,1792753
3802,3330620,1788843
3803,3334891,1785498
3804,3332897,1788163
3805,3340809,1791124
3806,3347410,1797116
3807,3343133,1792868
3808,3347139,1798097
3809,3344814,1799551
3810,3346203,1801130
3811,3347040,1798026
3812,3342766,1793370
3813,3342817,1793756
3814,3343869,1794358
3815,3340125,1795036
3816,3342085,1790608
3817,3337960,1786548
3818,3338304,1788664
3819,3333457,1794387
3820,3333298,1795942
3821,3331552,1800771
3822,3329758,1800569
3823,3334254,1797481
3824,3335484,1802135
3825,3343421,1804385
3826,3349593,1805482
3827,3349697,1805624
3828,3344336,1808995
3829,3339397,1813120
3830,3342798,1811316
3831,3349381,1811795
3832,3357016,1809356
3833,3353738,1807140
3834,3354822,1802755
3835,3348870,1807102
3836,3346976,1804432
3837,3351608,1806140
3838,3350721,1810019
3839,3345588,1805961
3840,3348588,1806050
3841,3354736,1805056
3842,3356064,1809542
3843,3358855,1811320
3844,3364152,1812902
3845,3361447,1812417
3846,3360688,1816561
3847,3368038,1819480
3848,3375170,1822904
3849,3382060,1820717
3850,3380551,1823265
3851,3376287,1825339
3852,3376603,1823777
3853,3380903,1819204
3854,3383430,1820685
3855,3379557,1815787
3856,3377628,1815435
3857,3380335,1812733
3858,3383594,1812021
3859,3381777,1817252
3860,3377722,1815726
3861,3385067,1812014
3862,3390623,1813597
3863,3388035,1809316
3864,3391862,1805920
3865,3388531,1805003
3866,3395084,1810296
3867,3402043,1815768
3868,3407551,1816878
3869,3412018,1821271
3870,3416276,1823876
3871,3421480,1819122
3872,3427520,1817449
3873,3429017,1822615
3874,3436349,1822146
3875,3441941,1826652
3876,3442660,1828305
3877,3437036,1831492
3878,3431182,1828291
3879,3439007,1823769
3880,3433412,1819375
3881,3435819,1819193
3882,3442359,1824791
3883,3440446,1827952
3884,3444518,1825094
3885,3443859,1827608
3886,3451458,1833306
3887,3448316,1828781
3888,3447613,1826989
3889,3446949,1827174
3890,3452193,1824249
3891,3446741,1827441
3892,3442534,1832760
3893,3449502,1836921
3894,3453599,1838737
3895,3460420,1837490
3896,3458539,1834547
3897,3464902,1840457
3898,3463054,1835649
3899,3469706,1839449
3900,3473575,1843344
3901,3474105,1845872
3902,3480022,1844557
3903,3483191,1849403
3904,3484872,1844759
3905,3482016,1849242
3906,3481342,1852326
3907,3486124,1851445
3908,3491914,1855786
3909,3488524,1852890
3910,3483886,1853316
3911,3490732,1857626
3912,3493070,1854822
3913,3491885,1851482
3914,3489929,1850659
3915,3486404,1854118
3916,3486048,1855186
3917,3480076,1855271
3918,3474644,1858769
3919,3476772,1862032
3920,3478170,1864249
3921,3475093,1866318
3922,3472388,1864071
3923,3472741,1867444
3924,3475001,1867033
3925,3482682,1868744
3926,3477017,1865583
3927,3478525,1868119
3928,3482258,1872496
3929,3484374,1876509
3930,3483368,1872118
3931,3478311,1875233
3932,3474537,1876496
3933,3479842,1881098
3934,3476554,1885518
3935,3483525,1882146
3936,3478334,1882608
3937,3484858,1884373
